Filename,Biological_group,Precursor_mass_tolerance_ppm,MHC-I_alleles,Affinity_threshold,modifications_fixed
ibenchGroundTruth_groundTruthSPL_60_10_30_0,ibenchGroundTruth_groundTruthSPL_60_10_30,5,,5000,
ibenchGroundTruth_groundTruthSPL_60_10_30_1,ibenchGroundTruth_groundTruthSPL_60_10_30,5,,5000,
ibenchGroundTruth_groundTruthSPL_60_10_30_2,ibenchGroundTruth_groundTruthSPL_60_10_30,5,,5000,
ibenchGroundTruth_groundTruthSPL_60_10_30_3,ibenchGroundTruth_groundTruthSPL_60_10_30,5,,5000,
ibenchGroundTruth_groundTruthSPL_60_10_30_4,ibenchGroundTruth_groundTruthSPL_60_10_30,5,,5000,
ibenchGroundTruth_groundTruthSPL_60_10_30_5,ibenchGroundTruth_groundTruthSPL_60_10_30,5,,5000,
ibenchGroundTruth_groundTruthSPL_60_10_30_6,ibenchGroundTruth_groundTruthSPL_60_10_30,5,,5000,
ibenchGroundTruth_groundTruthSPL_60_10_30_7,ibenchGroundTruth_groundTruthSPL_60_10_30,5,,5000,
